/workspace/out/code/MIX_Symptom/checkpoints/model/20200430-1-120-R/net_10_0.pth
/workspace/out/code/MIX_Symptom/checkpoints/model/202004301-120-R/net_10_0.pth
(21536, 16)
sample - ['连脑疼痛', '头', '头脑疼痛'] 21 21 5
sample - ['长流冷泪', '目', '流冷泪'] 1 1 1
sample - ['头痛恶寒', '皮', '恶寒'] 1 1 1
sample - ['腹痛烦热', '皮', '烦热'] 2 2 1
sample - ['畏寒加衣', '皮', '畏寒'] 1 1 1
sample - ['面削色晄白泛青色', '肉', '面削'] 7 7 1
sample - ['眠差口干', '口', '口干'] 2 2 1
sample - ['伴有脘腹胀满', '腹', '脘腹胀满'] 3 3 3
sample - ['性情烦躁', '情绪', '性情烦躁'] 2 2 2
sample - ['嘈杂冲逆', '运化', '嘈杂'] 1 1 1
sample - ['两胁刺痛,灼热', '皮', '身灼热'] 30 30 4
sample - ['行走乏力', '肉', '乏力'] 1 1 1
sample - ['右手指端麻木', '皮', '指端麻木'] 8 8 8
sample - ['语声低微', '神志', '语声低微'] 1 1 1
sample - ['咳吐浊唾涎沫', '运化', '吐'] 9 9 4
sample - ['眼泪自流', '目', '眼泪自流'] 1 1 1
sample - ['手足厥冷', '皮', '手足厥冷'] 1 1 1
sample - ['赤带', '泌尿生殖', '赤带'] 1 1 1
sample - ['乳汁不足', '乳房', '乳汁不足'] 1 1 1
sample - ['经前胃胀', '腹', '胃胀'] 1 1 1
sample - ['咽喉部干痒', '皮', '痒'] 18 18 2
sample - ['神疲体倦', '肉', '体倦'] 2 2 1
sample - ['腰酸腿酸', '肉', '腿酸'] 2 2 1
sample - ['有时胃痛', '腹', '胃痛'] 1 1 1
sample - ['皮肤枯干', '皮', '皮肤干枯'] 2 2 2
sample - ['汗出清稀', '皮', '汗出'] 1 1 1
sample - ['纳差经期提前', '泌尿生殖', '经期提前'] 16 16 12
sample - ['失血而呕逆肢冷', '运化', '呕逆'] 1 1 1
sample - ['头晕耳鸣', '耳', '耳鸣'] 2 2 1
sample - ['筋急口噤', '口', '口噤'] 1 1 1
sample - ['晨起眼睑微肿', '骨', '肿'] 47 47 3
sample - ['腰背活动受限', '肉', '活动受限'] 1 1 1
sample - ['喉咽痛唾脓血', '咽喉', '喉咽痛'] 1 1 1
sample - ['著惊发热', '皮', '发热'] 1 1 1
sample - ['左侧颈肩疼痛', '肉', '颈肩疼痛'] 9 9 5
sample - ['头晕乏力', '头', '头晕'] 1 1 1
sample - ['月经量少色红', '泌尿生殖', '月经量少'] 1 1 1
sample - ['痛时不敢活动失眠纳差', '运化', '纳差'] 2 2 1
sample - ['大便干结不畅', '运化', '大便干结'] 2 2 2
sample - ['目不能睁', '目', '目不能睁'] 2 2 2
sample - ['心慌时有发作', '胸', '心慌'] 1 1 1
sample - ['咽干口苦', '口', '口苦'] 2 2 1
sample - ['右上肢不能抬举', '肉', '右上肢不能抬举'] 1 1 1
sample - ['汗多不止', '皮', '汗多'] 1 1 1
sample - ['腰脊痛', '腰', '腰脊痛'] 5 5 3
sample - ['腰痛甚', '腰', '腰痛'] 1 1 1
sample - ['目昏', '目', '目昏'] 1 1 1
sample - ['腹痛泄后可缓解', '腹', '腹痛'] 1 1 1
